,year_to_date_return,years_up,years_down,fund_symbol,fund_return_2021_q2,fund_return_2021_q1,fund_return_2020_q4,fund_return_2020_q3,fund_return_2020_q2,category_return_2020,fund_return_2020
1703,0.1236,5.0,2.0,BDSCX,0.04243,0.1139,0.30753,0.04021,0.26975,0.10988,0.18403
1705,0.1304,5.0,2.0,BDSIX,0.04516,0.11696,0.30982,0.04344,0.27324,0.10988,0.19566
1706,0.1305,3.0,1.0,BDSKX,0.04462,0.11745,0.30989,0.04357,0.27298,0.10988,0.19599
1733,0.0613,27.0,6.0,BERIX,0.02836,0.02631,0.07414,0.02839,0.09725,0.07286,0.04483
1738,-0.0068,15.0,4.0,BFACX,0.01476,-0.03145,0.01276,0.00798,0.03932,0.07522,0.09902
1739,-0.0028,16.0,3.0,BFAFX,0.01654,-0.02976,0.01457,0.00978,0.04114,0.07522,0.10682
1741,-0.0121,3.0,1.0,BFCCX,0.02923,-0.05248,0.02021,0.00907,0.0897,0.09243,0.12249
1742,-0.008,3.0,1.0,BFCFX,0.03106,-0.05077,0.0221,0.01097,0.09168,0.09243,0.13077
1743,-0.0065,3.0,1.0,BFCGX,0.03177,-0.05017,0.0228,0.01165,0.0924,0.09243,0.13379
1744,-0.0005,3.0,0.0,BFFAX,0.01755,-0.02883,0.01553,0.01074,0.04214,0.07522,0.11104
1745,0.1738,18.0,5.0,BFGBX,0.12946,0.00488,0.11331,0.11165,0.28847,0.35862,0.40592
1750,0.024,4.0,1.0,BFICX,0.0255,-0.02216,0.0176,0.02519,0.05098,0.10007,0.13768
1751,0.0285,4.0,1.0,BFIFX,0.02624,-0.0202,0.01928,0.02778,0.05161,0.10007,0.14631
1752,0.0302,4.0,1.0,BFIGX,0.02705,-0.01921,0.01929,0.0286,0.05243,0.10007,0.14915
1769,-0.0194,9.0,3.0,BFWFX,0.01476,-0.04571,0.045,0.02963,0.05201,0.08348,0.10246
1786,0.0466,3.0,1.0,BGCKX,-0.00746,0.05692,-0.00523,-0.03295,0.06055,-0.05257,0.00328
1789,0.1142,2.0,1.0,BGDVX,0.06478,0.02745,0.08564,0.07421,0.15393,0.1296,0.11555
1792,0.142,2.0,1.0,BGEEX,0.07814,0.05191,0.15438,0.10242,0.22768,0.1296,0.21516
1835,0.086,16.0,4.0,BGSAX,0.10178,-0.02522,0.23301,0.14948,0.44127,0.55912,0.86209
1836,0.0813,16.0,4.0,BGSCX,0.09954,-0.02701,0.23087,0.14733,0.43866,0.55912,0.84869
1837,0.0875,16.0,4.0,BGSIX,0.10239,-0.02455,0.23384,0.15007,0.44215,0.55912,0.86678
1839,0.0843,11.0,1.0,BGSRX,0.10109,-0.02591,0.23238,0.1487,0.44026,0.55912,0.85761
1848,0.0937,8.0,1.0,BHSRX,0.07261,0.00028,0.08004,0.06265,0.17381,0.27625,0.19064
